stop_id,stop_name,stop_lat,stop_lon
GABS001,Bellville,18.62981745,-33.90587816
GABS002,Capricorn,18.4821249,-34.08734421
GABS003,Century City,18.50644576,-33.89151693
GABS004,Claremont,18.46629325,-33.98035719
GABS005,Durbanville,18.65152319,-33.82739892
GABS006,Elsies River,18.56794156,-33.91175302
GABS007,Fish Hoek Station,18.43252034,-34.13617564
GABS008,Golden Acre,18.42488968,-33.92408702
GABS009,Hanover Park,18.52688522,-33.99569654
GABS010,Heideveld Station,18.56130598,-33.97009461
GABS011,Khayelitsha (Makhaza),18.7098367,-34.05000389
GABS012,Khayelitsha Village 3,18.66345761,-34.02596835
GABS013,Killarney,18.52536188,-33.83330672
GABS014,Koeberg Station,18.47723555,-33.92524892
GABS015,Mitchells Plain Town Centre,18.62075463,-34.0477059
GABS016,Mowbray,18.47367456,-33.94858328
GABS017,Nyanga Central,18.58335833,-33.9921955
GABS018,Ocean View (Gemini Road),18.35105444,-34.14658095
GABS019,Grassy Park (Busy Corner),18.496459,-34.04904462
GABS020,Retreat,18.46274192,-34.05969294
GABS021,Somerset West,18.84996787,-34.08420603
GABS022,Tygerberg,18.600913,-33.90656323
GABS023,Bonteheuwel,18.55203132,-33.95182332
GABS024,Waterfront,18.42432933,-33.90127577
GABS025,Wynberg,18.47231878,-34.00521098
GABS026,Manenberg,18.54987072,-33.99847834
GABS027,Bothasig,18.54792632,-33.87084158
GABS028,Langa,18.52959549,-33.93987552
GABS029,Strand,18.82692976,-34.1175949
GABS030,Netreg,18.56431587,-33.95275992
mr_1,AKASIA PARK,-33.89167,18.5275
mr_2,ATHLONE,-33.96089,18.501622
mr_3,AVONDALE,-33.897776,18.593072
mr_4,Akasia Park,-33.89167,18.5275
mr_5,BELHAR,-33.939441,18.609057
mr_6,BELLVILLE,-33.906298,18.627491
mr_7,BLACKHEATH,-33.964266,18.701263
mr_8,BONTEHEUWEL,-33.942095,18.550369
mr_9,BRACKENFELL,-33.881123,18.688336
mr_10,CAPE TOWN,-33.92222,18.42639
mr_11,CENTURY CITY,-33.90131,18.51151
mr_12,CHRIS HANI,-34.0548,18.7108
mr_13,CLAREMONT,-33.981481,18.467184
mr_14,CRAWFORD,-33.976422,18.501359
mr_15,Cape Town,-33.92222,18.42639
mr_16,Century City,-33.90131,18.51151
mr_17,Chris Hani,-34.0548,18.7108
mr_18,DAL JOSAFAT,-33.699023284860914,18.97997900650834
mr_19,DE GRENDEL,-33.893501,18.578732
mr_20,DIEPRIVIER,-34.035454,18.466953
mr_21,DU TOIT,-33.923519818627334,18.854193353665053
mr_22,Dal Josafat,-33.699023284860914,18.97997900650834
mr_23,Du Toit,-33.923519818627334,18.854193353665053
mr_24,EERSTE RIVER,-34.000743,18.730914
mr_25,EIKENFONTEIN,-33.857134,18.71127
mr_26,ELSIES RIVER,-33.91054,18.569083
mr_27,ESPLANADE,-33.92365858955656,18.445748276952248
mr_28,Esplanade,-33.92365858955656,18.445748276952248
mr_29,FALSE BAY,-34.10239948288046,18.468559715317706
mr_30,FAURE,-34.026236,18.74719
mr_31,FIRGROVE,-34.055629,18.792935
mr_32,FISH HOEK,-34.13843,18.4307
mr_33,False Bay,-34.10239948288046,18.468559715317706
mr_34,Fish Hoek,-34.13843,18.4307
mr_35,GLENCAIRN,-34.164123,18.43203
mr_36,GOODWOOD,-33.91436738390068,18.547187376678394
mr_37,Goodwood,-33.91436738390068,18.547187376678394
mr_38,HARFIELD RD,-33.988286,18.471187
mr_39,HAZENDAL,-33.953312,18.502537
mr_40,HEATHFIELD,-34.046077,18.465594
mr_41,HEIDEVELD,-33.969678,18.561797
mr_42,HUGUENOT,-33.7398,18.9634
mr_43,Huguenot,-33.7398,18.9634
mr_44,KALK BAY,-34.126299,18.449956
mr_45,KAPTEINSKLIP,-34.067222,18.620684
mr_46,KENILWORTH,-33.995285,18.473
mr_47,KENTEMADE,-33.91333758168466,18.497271380650695
mr_48,KHAYELITSHA,-34.047985,18.670772
mr_49,KLAPMUTS,-33.8058146012784,18.87018669598775
mr_50,KOEBERG RD,-33.925787,18.47792
mr_51,KOELENHOF,-33.873738009466756,18.81950991133375
mr_52,KRAAIFONTEIN,-33.847178,18.723839
mr_53,KUILS RIVER,-33.93333804017317,18.677541695994268
mr_54,KUYASA,-34.055056252466635,18.69273409415094
mr_55,Kentemade,-33.91333758168466,18.497271380650695
mr_56,Klapmuts,-33.8058146012784,18.87018669598775
mr_57,Koelenhof,-33.873738009466756,18.81950991133375
mr_58,Kuils River,-33.93333804017317,18.677541695994268
mr_59,Kuyasa,-34.055056252466635,18.69273409415094
mr_60,LAKESIDE,-34.088484,18.462489
mr_61,LANGA,-33.9392,18.52966
mr_62,LANSDOWNE,-33.987594,18.50394
mr_63,LAVISTOWN,-33.943277,18.584198
mr_64,LENTEGEUR,-34.034437,18.611373
mr_65,LYNEDOCH,-33.98097263794659,18.77155839784612
mr_66,Lynedoch,-33.98097263794659,18.77155839784612
mr_67,MAITLAND,-33.924712,18.487822
mr_68,MANDALAY,-34.018928,18.624421
mr_69,MBEKWENI,-33.674363773384485,18.985437506321983
mr_70,MELTONROSE,-33.98873136183535,18.72026905366841
mr_71,MITCHELLS PL.,-34.048760576088355, 18.618678315202782
mr_72,MONTE VISTA,-33.891647,18.548935
mr_73,MOWBRAY,-33.946733,18.473885
mr_74,MUIZENBERG,-34.109571,18.467916
mr_75,MULDERSVLEI,-33.83078327858889,18.82812816715343
mr_76,MUTUAL,-33.921749,18.513696
mr_78,Mbekweni,-33.674363773384485,18.985437506321983
mr_79,Meltonrose,-33.98873136183535,18.72026905366841
mr_80,Mitchells Plain,-34.04953,18.61916
mr_81,Muldersvlei,-33.83078327858889,18.82812816715343
mr_82,NDABENI,-33.928238,18.49542
mr_83,NETREG,-33.952749,18.563571
mr_84,NEWLANDS,-33.974194,18.46761
mr_85,NOLUNGILE,-34.016939,18.648924
mr_86,NONKQUBELA,-34.026783,18.663078
mr_87,NYANGA,-33.993111,18.559914
mr_89,OBSERVATORY,-33.937882,18.471405
mr_90,OOSTERZEE,-33.899941,18.607073
mr_91,OTTERY,-34.013462,18.495211
mr_92,PAARL,-33.71555,18.96625
mr_93,PAROW,-33.909575,18.586203
mr_94,PENTECH,-33.934832,18.645965
mr_95,PHILIPPI,-34.013361,18.585385
mr_96,PINELANDS,-33.940121,18.490662
mr_97,PLUMSTEAD,-34.022033,18.469739
mr_98,Paarl,-33.71555,18.96625
mr_99,RETREAT,-34.059839,18.462936
mr_100,RONDEBOSCH,-33.962161,18.472369
mr_101,ROSEBANK,-33.954724,18.473143
mr_104,SALT RIVER,-33.92723,18.46502
mr_105,SAREPTA,-33.926513,18.661384
